cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed
UgyLstGSEg04QVn64nR4AaABAg,Pejabat klo kinerjanya di koreksi masyarakat harusnya klarifikasi bukannya emosi,1 hari yang lalu,@jalijali3711,UCfBZ_M9mmj4s_EYGQTBz3ng,0,,https://yt3.ggpht.com/ytc/AIdro_l_sX9OsCgbX3sfc3AwmPDBrfL4s6nnGdxRn0EsErcJY02l=s88-c-k-c0x00ffffff-no-rj,False,False,1716230456.205497
UgypMQLFoyu-UIQ8jdx4AaABAg,"Perkara DUIT? 😂😂😂
BAKAL SUSAH INI MAH.. DIBERANTAS YA SUSAH,, DILURUSKAN YA SUSAH.. KAYA NGGAK TAU AJA SAMA NEGERI KONOHA KITA TERCINTA... KALAU SOAL DUT BAKAL SUSAH.. BANYAK YANG MINAT SOALNYA.. 😂😂😂😂",1 hari yang lalu,@margoarjas1596,UCu6B4urF_l6e9R_ilUeTMgA,0,,https://yt3.ggpht.com/ytc/AIdro_lfLxnvz23XfN1enSYwCKVYdb6RVUN56kFPMEKMBHSqGQ=s88-c-k-c0x00ffffff-no-rj,False,False,1716230456.208587
UgzLaUTA_8wH-4Pp4hl4AaABAg,"Ngomong apa itu tadi, bea  cukai cuman di tegur kayak gitu kayak di ninabobokan. 
Enggak ada ketegasan sama sekali. 
Masalahnya sudah separah gitu, udah teguranya terlambat dan terlalu lembut. 
Gimana pemimpin kok enggak bisa membedakan ngomong dengan org baik dan jahat.
Ngomong sama org jahat yg sudah menderitakan rakyat sedemikian, harusnya lebih tegas, tidak harus tidak sopan tapi harus tegas!.",1 hari yang lalu,@darminiharding9954,UCLQUxrKwDLf0uGUKY4daSYA,0,1,https://yt3.ggpht.com/ytc/AIdro_lBs1H_dGt4ysc4HEpCmVjMrPI-aeYTl0CTkyGr_0k=s88-c-k-c0x00ffffff-no-rj,False,False,1716230456.210578
UgwhKduBYi30w7enYsl4AaABAg,Ha ha ha cuman ditegur? Kemenkeu ladang basah susah diusik! Ibu menterinya jg gak tegaan. Pejabat Pajak &Bea Cukai kami sudah lama tahu. Banyak tikusnya,1 hari yang lalu,@edoirianto5165,UCil-JV8bmyeYcla0jSSmSHw,0,,https://yt3.ggpht.com/ytc/AIdro_mM6Cy52r3imQYsY71-0lv4LN-BL49FOCSGD0MXULFXR4gQCJhFycIsfB6qawVr434KQQ=s88-c-k-c0x00ffffff-no-rj,False,False,1716230456.213652
UgyytkKiRZC88oA14Ct4AaABAg,"Kalau cuma negur percuma Bu, kalau Uda terbukti hrs dikuliti kekayaan an nya , kalau bnr"" hsl mafia di bea-cukai hrs penjara / pemecatan",1 hari yang lalu,@umarzuki7627,UCde0QHEOB-elGe7_J5Er-lg,0,,https://yt3.ggpht.com/ytc/AIdro_k6s3x3Sx52Ci7_TzXIUdrX1_FydhQ2WyoVEo25y94NdOmV2g4u8TIQkssk6N5z2hXrgg=s88-c-k-c0x00ffffff-no-rj,False,False,1716230456.216161
Ugw2gdAdGADwreBaehB4AaABAg,"Pajak rakyat sdh 12%, apa pemerintah masih kurang.??
Jujur aja BEACUKAI ladang basah, mana ada karyawan hidup pas Pasan, klo korupsi dikonoha sdh tradisi.",1 hari yang lalu,@desraaulia8329,UCgxHx15w6zQ_Zd_m6NkOtAw,0,,https://yt3.ggpht.com/ytc/AIdro_nHNmhgK4mtwlkvbYzWQNsHe7dvV4nJKisK6SmVW8O7u9Pa8T0cWxyinae9f8_eisKzEw=s88-c-k-c0x00ffffff-no-rj,False,False,1716230456.217717
Ugzd6DUeWA9L5mWsXS94AaABAg,Tar matinya pasti menderita 😂😂😂Lanjutkan meras rakyat ya bapak2/ibu2 Bea Cukai gak  ada doa yang baik buat kalian dari seluruh bangsa indonesia😊.demi ngelunasin utang negara rakyat kecil yg jadi sasaran buat aturan2 yg nyiksa gak ngotak.Padahal jaman Pak Harto gk da keq gini2.jaman pak Harto Aman tentram tapi Makin kedepan Indonesia bukan makin maju bikin makmur rakyat tp yg ada Nyengsarain Rakyat Mantap,1 hari yang lalu,@rachmatrachmat767,UCfgFoX7PNyCbn5H6TJBMYhQ,0,,https://yt3.ggpht.com/ytc/AIdro_nBiBza47xrVI22HQqbI5vVMSjOKCrypMV0wpODLhDTVe4Nl2G7EKpFmagMA2FW4bucAg=s88-c-k-c0x00ffffff-no-rj,False,False,1716230456.220883
Ugx0ku3ykBfMAcWOXz54AaABAg,"Yah...  Semoga kedepan pelayanan sesuai SOP menurut peraturan, jgn sampai lulus dri pengawasan MENPAN RB, tapi gagal di internal..  selalu jaga nama baik negara... Semangat..✊✊✊",1 hari yang lalu,@JoniJais,UCpmawLKan9WJkdHhpZuOzVA,0,,https://yt3.ggpht.com/wYk63T6PFTEyXR9heuygcmggDAyE-BkWXODrm9z0p22riSSJA-X_Nixb1YQyhkfDawsU2h6DiA=s88-c-k-c0x00ffffff-no-rj,False,False,1716230456.223198
UgwI49AkGmb_893iclh4AaABAg,Dimana2 paling enak kerja di beacukai ceperanya banyak,1 hari yang lalu,@bungkustbn2209,UCTMPXgpJR6fRqciEuHEyPnA,0,,https://yt3.ggpht.com/pkHdBP81xSR2qV-hX6i3BqoghHTfuY2Z42U9MyoNFLusWFeWRWbujM_vlUrEosMoiuseFmfkviY=s88-c-k-c0x00ffffff-no-rj,False,False,1716230456.226396
UgwZ3fSHhm-dvzuxsIp4AaABAg,bapak2 yg dibelakang berdirinya udah goyang2. terlalu lama berdiri😅,1 hari yang lalu,@popoiboss4200,UCUqmrkhZg2US4FYYpwLDA9A,0,,https://yt3.ggpht.com/ytc/AIdro_lkRLFJ-ICt6tHa8T5a75YyQusFcCaQuWCCjj8PI5cBqQ=s88-c-k-c0x00ffffff-no-rj,False,False,1716230456.228406
